22 022222222223113200 0010420222222222  0 022222222222 04221 1212222222222 01212222  030132110141442122000 0000000000011 5 05512211720022 0000024211130222222 002222212222133333122212222222122100 8  06 0373  0121100 6311 7 11222221222122225511212121211124 213234431 01 6 651103666311031511111416004 5 4 313120282437552222 0 0 0 511
11 211222222222112221 0043420222222222  0 022222222222 06552 0222222222222 00222222  0001322 0000000122000 0000000000021 0 1202200 000040 0202014212130222222 002222212221233333312222222112222232 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 000000211 24 9 903333333124131421111406004 4 1 323141332164545553 3 0 3 011
21 122222222212102033 0010511221222222  0 222112222222 06551 9111111211122 02222121  0301412 0000000121000 0000000000011 2 0502022 020042 0000014101120222222 021212212212233232113241112122223232 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 100000221 34 2 300420444112131412111106004 5 1 332222282461816112 6 0 6 010
11 311212222222112102 0010420222222222  0 022222222222 04531 1212222222222 01212222  000132111111562121000 0000000000011 0 3542200 000010 0202024332111122222 012221212221233323311212122222224211 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 100000121 23 6 901113444124131411211202104 6 9 622236472638382422 2 0 2 5 8
12 022222222222111101 0243420222222222  0 022222222222 05112 0222222222222 00222222  0001321 9112000122000 0000000000011 0 5561200 000040 0202034234230222222 002222221212233213311322122221221100 9  06 0273  0242100 7215 9 82222222112222216321212221221121 500231221 31 7104111132311423111222241220110 4 363155482237614223 1 2 311 8
21 121222222222113220 0010420222222222  0 022222222222 06551 1212222222222 01212222  0222002 0000000121000 0000000000011 0 06022211720042 0000034545220222222 012222112221233132111231112222223232 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 000000433 04 8 803335333202132211222406004 5 1 312225382714452554 2 0 2 011
11 112222222222112100 1145420222222222  0 022222222222 04331 1122222222222 01222122  000132113222000122000 0000000000011 0 2541100 000010 0202023332130222222 002222211222233223122212122222222212 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 200000321 23101001511433113231511111404014 8 4 511233282134472333 0 2 2 511
24 022222222222112211 0010420222222222  0 022222222222 01331 1212222222222 01212222  013152113221242122000 0000000000011 2 0522212 014042 0000014101130222222 002222212221233133123412222222121100 7  01 0271  0241256 02 5 3112212122222122226112222222212144 212113121 21 5 541131444401031322111416004 8 4 752113122054551222 2 0 2 511
14 022222222221112211 0010320222222222  0 311122222222 04231 3111222222222 01222221  000112112322000122000 0000000000021 0 7551200 000030 0202042242112122221 022112212221233110123231112222222212 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 100000111 22101001115034114121511111202204 6 4 311440462566655112 2 0 2 411
12 022222222222112130 0010420222222222  0 022222222222 04322 0222222222222 00222222  000142112311452121000 0000000000011 0 2422200 000030 0202014233220222222 012212212212232213113331112222222100 2  01 0151  0312100 33 6 3132212212222221224112222222221121 214224211 23 8 851113555113131511111116004 3 3 111337332238471333 3 0 3 111
21 312221222122113200 1050420222222222  0 022222222222 04221 1212222222222 0122222127212152111111362122000 0000000000011 2 05523111711022 0000023232120222222 012122212221233232244432122121222231 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 200000223 03 8 901116444401031411211406001 5 4 313113132164545224 0 1 1 410
21 311212222222112210 0010230222222222  0 211222222222 01231 4111222221222 01222221 1722142111221032122000 0000000000011 4 0541212 020012 0000024321130222222 002222212212233133223212222222121100 4  01 0343  0410100113 7 2 11122221222222226411122221211121 214221431 41 9 96111144440103112122242600410 1 911323212181554333 1 0 1 911
22 022222222222112220 0010313221222112  0 311222221222 01221 3111222222222 0122222113630122111111652122000 000000000001113 05223211611042 0000024242130222222 002222212212223132124422212122222100 1  01 0171  0312100 33 7 3142212221222222126512122111211125 213111121 31 7 941116445401031511111112104 4 4 113120352747474333 2 0 2 3 9
22 022222222222112212 0010420222222222  0 022222222222 04221 2112222222222 02212122  013132112211261122000 0000000000011 4 05112111220042 0000034341130222222 002222212212211131134532122121221100 8  05 0171  0211100 93 610 82222212121222225512122111221125 313114111 21 9 961115334311031221122111204 6 4 612224392738052333 3 0 3 411
